"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo"
"905","57799695","-8","5/7/2022","1:48:09 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"305","57286523","-6","5/7/2022","7:56:00 AM","ECSOUSA","1","HOSPEDE NÃO CONSUMIU"
"407","57928657","-6","5/7/2022","9:42:56 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1010","57586519","-5","5/7/2022","10:38:00 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1005","57398887","-0.41","5/7/2022","1:00:00 PM","ECSOUSA","1","CORTESIA DE DIÁRIAS"
"204","57433941","-0.01","5/7/2022","2:16:37 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"204","57433941","-0.01","5/7/2022","2:16:37 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1203","57938776","0.05","5/7/2022","3:36:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1102","57766894","38","5/7/2022","1:31:21 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1109","57611343","50.25","5/7/2022","12:12:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"509","57794022","52","5/7/2022","1:57:26 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1207","57850402","199.5","5/7/2022","1:17:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"106","57861676","278.57","5/7/2022","1:05:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"211","57758654","502.76","5/7/2022","1:15:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"401","57826838","530","5/7/2022","2:56:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1111","57870020","-127","5/7/2022","5:41:00 AM","RFREITAS","1","ERRO DO SISTEMA"
"706","57883327","-269.75","5/8/2022","5:56:00 AM","RFELIZ","1","ERRO DO SISTEMA"
"501","57705380","146.25","5/8/2022","11:02:59 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"1111","57870020","-200.95","5/8/2022","7:04:03 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"610","57856206","-65","5/8/2022","10:47:51 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"903","57488819","-44","5/8/2022","5:16:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"502","57627975","-31.5","5/8/2022","12:37:54 PM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"709","57714436","-25","5/8/2022","12:26:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"310","57961050","-20","5/8/2022","11:36:51 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"411","57821100","-18","5/8/2022","11:25:39 AM","RFELIZ","3","ERRO DE LANÇAMENTO"
"706","57883327","-13.49","5/8/2022","5:56:00 AM","RFELIZ","1","ERRO DO SISTEMA"
"810","57794227","-11.55","5/8/2022","4:14:09 AM","RFELIZ","1","ERRO DO SISTEMA"
"1111","57870020","-10.05","5/8/2022","7:04:03 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"907","57614881","-8","5/8/2022","10:15:00 AM","ECSOUSA","1","HOSPEDE NÃO CONSUMIU"
"502","57627975","-8","5/8/2022","12:37:10 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"209","57869839","-6","5/8/2022","9:36:29 AM","ECSOUSA","1","HOSPEDE NÃO CONSUMIU"
"901","57471460","-6","5/8/2022","11:07:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"409","57862389","-5","5/8/2022","8:57:00 AM","ECSOUSA","1","HOSPEDE NÃO CONSUMIU"
"709","57714436","-1.25","5/8/2022","12:26:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"310","57961050","-1","5/8/2022","11:36:51 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"806","57906246","-0.01","5/8/2022","6:48:35 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"904","57927227","-0.01","5/8/2022","8:36:03 AM","ECSOUSA","1","VALOR DIARA INCORRETO"
"806","57906246","0","5/8/2022","6:48:35 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"904","57927227","0","5/8/2022","8:36:03 AM","ECSOUSA","1","VALOR DIARA INCORRETO"
"806","57906246","0.02","5/8/2022","6:49:15 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"406","57857687","31.5","5/8/2022","3:28:55 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"408","57857695","101","5/8/2022","3:28:07 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"810","57794227","-231","5/8/2022","4:14:09 AM","RFELIZ","1","ERRO DO SISTEMA"
"306","57587957","-338","5/9/2022","11:27:00 PM","RFELIZ","1","ERRO DO SISTEMA"
"608","57869820","719.95","5/9/2022","2:12:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"","","-152","5/9/2022","12:04:16 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"306","57587957","-16.9","5/9/2022","11:27:00 PM","RFELIZ","1","ERRO DO SISTEMA"
"","","-7.6","5/9/2022","12:03:43 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"","","-7.6","5/9/2022","12:04:16 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"601","57726396","-4","5/9/2022","9:45:14 AM","ECSOUSA","1","HOSPEDE NÃO CONSUMIU"
"707","57481911","-0.01","5/9/2022","1:34:04 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"511","57987696","-0.01","5/9/2022","12:14:00 AM","RFELIZ","1","ERRO DO SISTEMA"
"707","57481911","0","5/9/2022","1:34:04 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
