"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo",""
"609","58436391","-0.29","6/7/2022","10:04:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"609","58436391","-5.71","6/7/2022","10:04:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"609","58436391","-11.25","6/7/2022","10:02:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"611","58457216","104","6/7/2022","1:27:00 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"611","58250913","149.1","6/7/2022","10:19:47 PM","CALOLIVEIRA","1","Erro de Laçto",""
"901","58397213","94.5","6/7/2022","1:14:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO",""
"904","58458441","144.9","6/7/2022","6:33:46 AM","RFREITAS","1","Erro de Laçto",""
"","","-15","6/7/2022","9:54:08 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"","","-0.75","6/7/2022","9:54:08 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"","58424660","462.84","6/7/2022","7:26:50 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1001","58397264","73.5","6/8/2022","1:16:00 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"1011","58196439","-8","6/8/2022","8:12:54 AM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"110","58351566","-25","6/8/2022","12:25:00 AM","RFREITAS","1","LCTO EM DUPLICIDADE",""
"110","58351566","-1.25","6/8/2022","12:25:00 AM","RFREITAS","1","LCTO EM DUPLICIDADE",""
"1107","57104239","-232.25","6/8/2022","2:27:45 AM","RFREITAS","1","ERRO DO SISTEMA",""
"1107","57104239","-11.61","6/8/2022","2:27:45 AM","RFREITAS","1","ERRO DO SISTEMA",""
"1202","58420622","-15","6/8/2022","8:02:00 AM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"1208","58420525","-24","6/8/2022","11:01:00 AM","CFIOR","3","HOSPEDE NÃO CONSUMIU",""
"1208","58397094","99.23","6/8/2022","1:19:00 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"203","58110100","-8","6/8/2022","7:05:52 AM","RFREITAS","1","HOSPEDE NÃO CONSUMIU",""
"210","58303383","-6","6/8/2022","12:10:22 PM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"607","58159592","-1.25","6/8/2022","12:28:00 AM","RFREITAS","1","LCTO EM DUPLICIDADE",""
"607","58159592","-25","6/8/2022","12:28:00 AM","RFREITAS","1","LCTO EM DUPLICIDADE",""
"803","58110119","-8","6/8/2022","7:10:54 AM","RFREITAS","1","HOSPEDE NÃO CONSUMIU",""
"110","58351566","192.5","6/9/2022","9:24:00 AM","IGPESSOA","1","ERRO DE LANÇAMENTO",""
"408","58191089","-0.01","6/9/2022","3:53:40 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"408","58191089","0","6/9/2022","3:53:40 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"608","58538437","287.74","6/9/2022","5:52:00 PM","ECSOUSA","1","ERRO DE LANÇAMENTO",""
"608","58076883","-0.01","6/9/2022","9:36:34 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"608","58076883","0","6/9/2022","9:36:34 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
